Sample_ID,Species,Pre_treatment,Probiotic,ABTS,DPPH,FRAP,TPC,Vit_B1,Vit_B2,Beta_glucan,Texture,Delta_H,Sensory_score
S94,I_badia,WB_2m,LA5,135.40,36.29,15.20,210.97,255.15,2314.04,25.98,5.68,78.04,4.7
S95,I_badia,WB_2m,LA5,153.17,37.34,13.17,198.76,257.40,2185.67,26.27,5.79,77.94,4.7
S96,I_badia,WB_2m,LA5,131.72,33.80,14.75,194.95,289.98,1923.45,25.69,5.24,77.90,4.6
S97,I_badia,WB_2m,PL,129.27,14.04,12.30,99.95,200.47,2293.46,23.62,2.63,76.82,4.7
S98,I_badia,WB_2m,PL,140.91,16.71,12.14,102.62,224.17,2274.82,23.70,2.22,76.91,4.6
S99,I_badia,WB_2m,PL,147.65,16.71,13.60,100.33,218.00,2269.00,23.54,2.63,76.83,4.6
S100,I_badia,WB_2m,PL,118.24,15.90,10.35,86.60,178.75,1819.78,24.06,2.90,77.20,4.6
S101,I_badia,WB_2m,PL,120.08,13.22,10.98,89.27,210.48,2327.70,24.13,2.41,77.17,4.6
S102,I_badia,WB_2m,PL,136.01,14.83,11.52,86.60,201.09,2066.35,24.20,2.33,77.19,4.6
S103,I_badia,MB_2m,No_inoculation,142.95,20.83,16.56,208.30,178.21,2606.48,25.00,3.56,75.47,2.8
S104,I_badia,MB_2m,No_inoculation,177.67,20.91,16.49,210.21,175.29,1673.18,25.66,3.85,75.55,2.9
S105,I_badia,MB_2m,No_inoculation,155.00,22.75,18.47,215.17,149.75,1636.72,24.45,4.32,75.46,2.9
S106,I_badia,MB_2m,No_inoculation,178.90,20.42,13.83,273.15,251.02,2134.07,24.60,4.76,75.60,2.9
S107,I_badia,MB_2m,No_inoculation,180.12,20.69,14.76,296.81,295.39,1962.48,25.15,4.60,75.66,2.9
S108,I_badia,MB_2m,No_inoculation,151.33,17.42,15.73,298.33,272.69,1786.27,24.06,3.94,75.66,2.9
S109,I_badia,MB_2m,LA5,131.72,18.55,20.85,230.04,226.28,2281.00,23.75,5.11,76.21,3.5
S110,I_badia,MB_2m,LA5,153.80,19.44,18.12,222.03,202.07,2082.79,24.30,4.20,76.34,3.5
S111,I_badia,MB_2m,LA5,129.88,17.74,19.34,233.48,258.82,2519.48,23.21,4.62,76.33,3.5
S112,I_badia,MB_2m,LA5,165.42,27.09,16.61,205.25,138.84,2355.27,23.75,4.61,75.30,3.4
S113,I_badia,MB_2m,LA5,155.00,29.52,17.41,207.15,126.25,1997.48,24.30,4.35,75.32,3.4
S114,I_badia,MB_2m,LA5,170.93,27.53,14.99,218.22,134.18,1984.71,23.21,4.66,75.24,3.4
S115,I_badia,MB_2m,PL,113.56,9.55,9.87,120.31,145.78,2134.55,26.76,4.12,76.56,4.0
S116,I_badia,MB_2m,PL,118.97,11.90,10.65,111.11,156.73,2000.56,26.54,4.89,76.90,4.0
S117,I_badia,MB_2m,PL,127.43,12.18,10.44,118.37,167.98,2345.89,26.98,5.34,76.23,4.0
S118,I_badia,MB_2m,PL,138.45,16.53,7.31,132.12,110.56,2087.76,23.77,4.22,75.65,4.0
S119,I_badia,MB_2m,PL,146.32,12.88,9.11,115.91,86.87,2032.65,23.98,5.08,75.83,4.0
S120,I_badia,MB_2m,PL,152.11,14.78,10.81,114.90,99.78,2167.89,24.19,4.44,75.22,4.0
